attack_name,source_level,resistance_score,resist_0,resist_25,resist_50,resist_75,misses,hits,analysis
Melee,24,40,69,165,55,16,50,305,"Hits: 85.92%, [81.91%, 89.15%], 305 / 355 attacks; Misses: 14.08%, [10.85%, 18.09%], 50 / 355 attacks; 0% resist: 22.62%, [18.28%, 27.64%], 69 / 305 hits; 25% resist: 54.10%, [48.49%, 59.61%], 165 / 305 hits; 50% resist: 18.03%, [14.12%, 22.74%], 55 / 305 hits; 75% resist:  5.25%, [ 3.25%,  8.35%], 16 / 305 hits"
Melee,24,85,0,69,182,112,62,363,"Hits: 85.41%, [81.74%, 88.45%], 363 / 425 attacks; Misses: 14.59%, [11.55%, 18.26%], 62 / 425 attacks; 0% resist:  0.00%, [ 0.00%,  1.05%], 0 / 363 hits; 25% resist: 19.01%, [15.30%, 23.36%], 69 / 363 hits; 50% resist: 50.14%, [45.02%, 55.25%], 182 / 363 hits; 75% resist: 30.85%, [26.32%, 35.79%], 112 / 363 hits"
Melee,24,86,0,142,455,244,135,841,"Hits: 86.17%, [83.86%, 88.19%], 841 / 976 attacks; Misses: 13.83%, [11.81%, 16.14%], 135 / 976 attacks; 0% resist:  0.00%, [ 0.00%,  0.45%], 0 / 841 hits; 25% resist: 16.88%, [14.50%, 19.57%], 142 / 841 hits; 50% resist: 54.10%, [50.72%, 57.44%], 455 / 841 hits; 75% resist: 29.01%, [26.05%, 32.17%], 244 / 841 hits"
Melee,24,143,0,0,6,40,6,46,"Hits: 88.46%, [77.03%, 94.60%], 46 / 52 attacks; Misses: 11.54%, [ 5.40%, 22.97%], 6 / 52 attacks; 0% resist:  0.00%, [ 0.00%,  7.71%], 0 / 46 hits; 25% resist:  0.00%, [ 0.00%,  7.71%], 0 / 46 hits; 50% resist: 13.04%, [ 6.12%, 25.67%], 6 / 46 hits; 75% resist: 86.96%, [74.33%, 93.88%], 40 / 46 hits"
Melee,25,143,0,2,0,9,3,11,"Hits: 78.57%, [52.41%, 92.43%], 11 / 14 attacks; Misses: 21.43%, [ 7.57%, 47.59%], 3 / 14 attacks; 0% resist:  0.00%, [ 0.00%, 25.88%], 0 / 11 hits; 25% resist: 18.18%, [ 5.14%, 47.70%], 2 / 11 hits; 50% resist:  0.00%, [ 0.00%, 25.88%], 0 / 11 hits; 75% resist: 81.82%, [52.30%, 94.86%], 9 / 11 hits"
Melee,26,143,0,8,34,159,24,201,"Hits: 89.33%, [84.62%, 92.73%], 201 / 225 attacks; Misses: 10.67%, [ 7.27%, 15.38%], 24 / 225 attacks; 0% resist:  0.00%, [ 0.00%,  1.88%], 0 / 201 hits; 25% resist:  3.98%, [ 2.03%,  7.66%], 8 / 201 hits; 50% resist: 16.92%, [12.36%, 22.71%], 34 / 201 hits; 75% resist: 79.10%, [72.96%, 84.15%], 159 / 201 hits"
Melee,27,15,272,97,18,6,63,393,"Hits: 86.18%, [82.71%, 89.05%], 393 / 456 attacks; Misses: 13.82%, [10.95%, 17.29%], 63 / 456 attacks; 0% resist: 69.21%, [64.48%, 73.57%], 272 / 393 hits; 25% resist: 24.68%, [20.68%, 29.18%], 97 / 393 hits; 50% resist:  4.58%, [ 2.92%,  7.12%], 18 / 393 hits; 75% resist:  1.53%, [ 0.70%,  3.29%], 6 / 393 hits"
Melee,27,21,127,49,23,1,53,200,"Hits: 79.05%, [73.62%, 83.61%], 200 / 253 attacks; Misses: 20.95%, [16.39%, 26.38%], 53 / 253 attacks; 0% resist: 63.50%, [56.63%, 69.86%], 127 / 200 hits; 25% resist: 24.50%, [19.06%, 30.90%], 49 / 200 hits; 50% resist: 11.50%, [ 7.79%, 16.66%], 23 / 200 hits; 75% resist:  0.50%, [ 0.09%,  2.78%], 1 / 200 hits"
Melee,27,44,397,883,305,70,226,1655,"Hits: 87.99%, [86.44%, 89.38%], 1655 / 1881 attacks; Misses: 12.01%, [10.62%, 13.56%], 226 / 1881 attacks; 0% resist: 23.99%, [21.99%, 26.10%], 397 / 1655 hits; 25% resist: 53.35%, [50.94%, 55.75%], 883 / 1655 hits; 50% resist: 18.43%, [16.63%, 20.37%], 305 / 1655 hits; 75% resist:  4.23%, [ 3.36%,  5.31%], 70 / 1655 hits"
Melee,27,45,251,577,167,35,153,1030,"Hits: 87.07%, [85.03%, 88.86%], 1030 / 1183 attacks; Misses: 12.93%, [11.14%, 14.97%], 153 / 1183 attacks; 0% resist: 24.37%, [21.85%, 27.08%], 251 / 1030 hits; 25% resist: 56.02%, [52.97%, 59.02%], 577 / 1030 hits; 50% resist: 16.21%, [14.09%, 18.59%], 167 / 1030 hits; 75% resist:  3.40%, [ 2.45%,  4.69%], 35 / 1030 hits"
Melee,27,46,182,462,126,45,184,815,"Hits: 81.58%, [79.06%, 83.86%], 815 / 999 attacks; Misses: 18.42%, [16.14%, 20.94%], 184 / 999 attacks; 0% resist: 22.33%, [19.61%, 25.32%], 182 / 815 hits; 25% resist: 56.69%, [53.26%, 60.05%], 462 / 815 hits; 50% resist: 15.46%, [13.14%, 18.10%], 126 / 815 hits; 75% resist:  5.52%, [ 4.15%,  7.31%], 45 / 815 hits"
Melee,27,89,3,64,131,45,27,243,"Hits: 90.00%, [85.84%, 93.04%], 243 / 270 attacks; Misses: 10.00%, [ 6.96%, 14.16%], 27 / 270 attacks; 0% resist:  1.23%, [ 0.42%,  3.57%], 3 / 243 hits; 25% resist: 26.34%, [21.20%, 32.21%], 64 / 243 hits; 50% resist: 53.91%, [47.63%, 60.07%], 131 / 243 hits; 75% resist: 18.52%, [14.14%, 23.88%], 45 / 243 hits"
Melee,27,90,0,249,663,304,173,1216,"Hits: 87.54%, [85.70%, 89.18%], 1216 / 1389 attacks; Misses: 12.46%, [10.82%, 14.30%], 173 / 1389 attacks; 0% resist:  0.00%, [ 0.00%,  0.31%], 0 / 1216 hits; 25% resist: 20.48%, [18.30%, 22.84%], 249 / 1216 hits; 50% resist: 54.52%, [51.71%, 57.30%], 663 / 1216 hits; 75% resist: 25.00%, [22.65%, 27.51%], 304 / 1216 hits"
Melee,27,91,0,212,568,245,140,1025,"Hits: 87.98%, [85.99%, 89.73%], 1025 / 1165 attacks; Misses: 12.02%, [10.27%, 14.01%], 140 / 1165 attacks; 0% resist:  0.00%, [ 0.00%,  0.37%], 0 / 1025 hits; 25% resist: 20.68%, [18.31%, 23.27%], 212 / 1025 hits; 50% resist: 55.41%, [52.36%, 58.43%], 568 / 1025 hits; 75% resist: 23.90%, [21.39%, 26.61%], 245 / 1025 hits"
Melee,27,143,0,9,31,178,21,218,"Hits: 91.21%, [86.94%, 94.18%], 218 / 239 attacks; Misses:  8.79%, [ 5.82%, 13.06%], 21 / 239 attacks; 0% resist:  0.00%, [ 0.00%,  1.73%], 0 / 218 hits; 25% resist:  4.13%, [ 2.19%,  7.66%], 9 / 218 hits; 50% resist: 14.22%, [10.20%, 19.48%], 31 / 218 hits; 75% resist: 81.65%, [75.98%, 86.23%], 178 / 218 hits"
Melee,28,45,15,35,12,2,10,64,"Hits: 86.49%, [76.88%, 92.49%], 64 / 74 attacks; Misses: 13.51%, [ 7.51%, 23.12%], 10 / 74 attacks; 0% resist: 23.44%, [14.75%, 35.13%], 15 / 64 hits; 25% resist: 54.69%, [42.57%, 66.27%], 35 / 64 hits; 50% resist: 18.75%, [11.06%, 29.97%], 12 / 64 hits; 75% resist:  3.12%, [ 0.86%, 10.70%], 2 / 64 hits"
Melee,28,46,50,125,24,7,27,206,"Hits: 88.41%, [83.67%, 91.91%], 206 / 233 attacks; Misses: 11.59%, [ 8.09%, 16.33%], 27 / 233 attacks; 0% resist: 24.27%, [18.92%, 30.56%], 50 / 206 hits; 25% resist: 60.68%, [53.87%, 67.10%], 125 / 206 hits; 50% resist: 11.65%, [ 7.96%, 16.75%], 24 / 206 hits; 75% resist:  3.40%, [ 1.66%,  6.85%], 7 / 206 hits"
Melee,28,93,11,254,572,264,157,1101,"Hits: 87.52%, [85.58%, 89.23%], 1101 / 1258 attacks; Misses: 12.48%, [10.77%, 14.42%], 157 / 1258 attacks; 0% resist:  1.00%, [ 0.56%,  1.78%], 11 / 1101 hits; 25% resist: 23.07%, [20.68%, 25.65%], 254 / 1101 hits; 50% resist: 51.95%, [49.00%, 54.89%], 572 / 1101 hits; 75% resist: 23.98%, [21.55%, 26.59%], 264 / 1101 hits"
